Category,State/UT (Col.2),"Arms Act, 1959 (Col.3)","Narcotic Drugs & Psychotropic Substances Act, 1985 (Col.4)","Gambling Act, 1867 (Col.5)","Excise Act, 1944 (Col.6)",Prohibition Act (Col.7),"Explosives & Explosive Substances Act, 1884 & 1908 (Col.8)","Immoral Traffic (Prevention) Act, 1956 - Immoral Traffic (Prevention) Act (Total) (Col.9)","Immoral Traffic (Prevention) Act, 1956 - Under Section 5 (Col.10)","Immoral Traffic (Prevention) Act, 1956 - Under Section 6 (Col.11)","Immoral Traffic (Prevention) Act,1956 - Under Section 7 (Col.12)","Immoral Traffic (Prevention) Act,1956 - Under Section 8 (Col.13)","Immoral Traffic (Prevention) Act,1956 - Others (Col.14)","Indian Railways Act, 1989 (Col.15)","Registration of Foreigners Act, 1939 (Col.16)","Protection of Civil Rights Act, 1955 - Protection of Civil Rights Act (Total) (Col.17)","Protection of Civil Rights Act, 1955 - For Crimes Committed Against SCs (Col.18)","Protection of Civil Rights Act, 1955 - For Crimes Committed Against STs (Col.19)","Protection of Civil Rights Act, 1955 - For Crimes Committed Against Others (Col.20)","Passport Act, 1967 (Col.21)","Essential Commodities Act, 1955 (Col.22)","Antiquities & Art Treasures Act, 1972 (Col.23)","Dowry Prohibition Act, 1961 (Col.24)","Indecent Representation of Women (Prohibition) Act, 1986 (Col.25)","Copy Right Act, 1957 (Col.26)",Protection of Children from Sexual Offences Act 1987 (Col.27),"SC/ST (Prevention of Atrocities) Act, 1989 - SC/ST (Prevention of Atrocities) Act, 1989 (Col.28)","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against SCs (Col.29)","SC/ST (Prevention of Atrocities) Act, 1989 - For Crimes Committed Against STs (Col.30)","Forest Act, 1927 (Col.31)","Prohibition of Child Marriage Act, 2006 (Col.32)","Protection of Women From Domestic Violence Act, 2005 (Col.33)","Information Technology Act, 2000 (Col.34)","Official Secrets Act, 1923 (Col.35)","Electricity Act, 2003 (Col.36)","Wildlife Protection Act, 1972 (Col.37)","Bonded Labour System (Abolition) Act, 1976 - Bonded Labour System (Abolition) Act, 1976 (Total) (Col.38)","Bonded Labour System (Abolition) Act, 1976 - Against SC (Col.39)","Bonded Labour System (Abolition) Act, 1976 - Against ST (Col.40)","Bonded Labour System (Abolition) Act, 1976 - Against Others (Col.41)","Environmental Protection Act, 1986 (Col.42)","Air (Prevention & Control of Pollution) Act, 1981 (Col.43)",Water (Prevention & Control of Pollution) Act (Col.44),"National Security Act, 1980 (Col.45)","Unlawful Activities (Prevention) Act, 1967 (Col.46)","Young Persons (Harmful Publications) Act, 1956 (Col.47)","Railway Property (Unlawful Possession) Act, 1966 (Col.48)","Prevention of Damage To Public Property Act, 1984 (Col.49)","Transplantation of Human Organs Act, 1994 (Col.50)","Trade Marks Act, 1999 (Col.51)","Prevention of Insults To National Honour Act, 1971 (Col.52)","State Emblem of India (Prohibition of Improper Use) Act, 2005 (Col.53)","Lotteries (Regulation) Act, 1998 (Col.54)","Citizenship Act, 1955 (Col.55)","Foreigners Act, 1946 (Col.56)","Place of Worship (Special Provisions) Act, 1991 (Col.57)","Religious Institution (Prevention of Misuse) Act, 1988 (Col.58)","Representation of the People Act, 1951 (Col.59)","Emigration Act, 1983 (Col.60)","Juvenile Justice (Care And Protection of Children) Act, 2000 (Col.61)","Infant Milk Substitutes, Feeding Bottles And Infant Foods (Regulation of Production, Supply And Distribution) Amendment Act, 2003 (Col.62)","Anti Hijacking Act, 1982 (Col.63)","Atomic Energy Act, 1962 (Col.64)","Weapons of Mass Destruction And Their Delivery Systems (Prohibition Of Unlawful Activities) Act, 2005 (Col.65)","Suppression of Unlawful Acts Against Safety Of Civil Aviation Act, 1982 (Col.66)","Safety of Maritime Navigation Act, 2002 (Col.67)","The Employment of Manual Scavengers And Construction Of Dry Latrines (Prohibition) Act, 1993 (Col.68)","Pre-Natal Diagnostic Techniques (Regulation And Prevention of Misuse) Act, 1994 (Col.69)","The Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Act, 1981 (Col.70)",Other SLL Crimes (Col.71),Total Cognizable SLL Crimes (Col.72)
State,Andhra Pradesh,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
State,Arunachal Pradesh,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
State,Assam,6,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,44
State,Bihar,46,4,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96
State,Chhattisgarh,4,3,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,126
State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
State,Gujarat,1,1,19,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53,221
State,Haryana,3,1,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,86
State,Himachal Pradesh,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
State,Jammu & Kashmir,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
State,Jharkhand,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12
State,Karnataka,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,48
State,Kerala,2,39,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,136,221
State,Madhya Pradesh,46,1,79,53,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,263
State,Maharashtra,14,28,23,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,4,1,5,5,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,77,211
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
State,Mizoram,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
State,Nagaland,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
State,Odisha,2,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24
State,Punjab,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
State,Rajasthan,20,3,0,19,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,77
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
State,Tamil Nadu,1,7,9,0,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,46,14,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,115,331
State,Telangana,2,2,0,5,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,24,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,48
State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
State,West Bengal,3,4,0,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,89
State,TOTAL (STATES),181,123,215,139,130,15,8,5,1,1,0,1,3,0,0,0,0,0,2,5,0,5,0,14,456,33,32,1,1,3,0,17,0,18,4,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,14,0,0,0,0,107,0,0,0,0,0,0,0,0,0,481,2000
UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Delhi UT,6,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UT,TOTAL (UTs),6,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37
TOTAL (ALL INDIA),TOTAL (ALL INDIA),187,123,218,152,130,15,8,5,1,1,0,1,3,0,0,0,0,0,2,5,0,5,0,14,460,33,32,1,1,3,0,17,0,18,4,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,14,0,0,0,0,107,0,0,0,0,0,0,0,0,0,492,2037
